COUNTRY|Updated on|Response
Estonia|2020-03-30|"The Estonian Research Council (ETAg) is coordinating collection of information about the need for new research topics and the capabilities of research performing organizations to do the needed research. 

The quickest way to react is to channel researchers' immediate responses within the framework of existing measures. The planned interventions are divided into short-term fast-line research that provide an up-to-date understanding of the spread of the virus, as well as to help identify the immediate socio-economic effects. This type of research is expected to bring results within a few months. Longer-term research grants are currently being developed – these are more forward looking and will require a longer-term effort.  

Short-term needs are addressed in the framework of the RITA program (see https://www.etag.ee/en/funding/programmes/rita/) through which ETAg has launched an additional call for projects addressing COVID-19. At least two projects (worth approximately 50 000 euros each) will be co-financed (ministries will contribute with 40% of co-financing). Topics will be selected and approved by the scientific advisers of different ministries. The call is open to all R&D institutions. The dedication of more additional funding from structural funds is currently under negotiations with the Ministry of Education and Research.
  
Some of the research groups are working with their international counterparts within existing cooperation networks. 


"
European Union|2020-04-29|"The Commission is providing direct support for research and innovation:

(i) Supporting new research and innovation
- On 30 January 2020, the Commission launched a call for expressions of interest for research projects advancing knowledge for the clinical and public health response to the COVID-19 epidemic. The deadline for submission was 12 February 2020. Ninety one proposals were received. The initially allocated budget of €10 million was subsequently increased to €47.5 million given the scale of the outbreak and the quality and potential of the research proposals submitted. Such rapid action was possible thanks to the standing budget line for public health emergency research funds included in the annual Work Programmes for health research of the Horizon 2020 Framework Programme for Research and Innovation. Following the evaluation of proposals on 25-26 February 2020, 17 research projects were shortlisted for funding. Collectively, they cover comprehensively the wide range of research questions related to this novel virus and the disease it causes. Research foci include the virus and disease dynamics, the development of rapid diagnostics, the exploration of different avenues for the development of therapeutics, and vaccine development.
- In addition, the Innovative Medicines Initiative (IMI), a public-private partnership between the EU and the pharmaceutical industry (through its association EFPIA), announced on 3 March 2020 a special fast track call for proposals for research projects. The projects should focus primarily on developing treatments and diagnostics to tackle better the current COVID-19 outbreak and increase preparedness for potential future outbreaks. The European Commission funds IMI through Horizon 2020 and will contribute up to €45 million to this call. A commitment of a similar scale is expected from the pharmaceutical industry so that the total investment could reach up to €90 million.  
- Another partnership supported by Horizon 2020, the European and Developing Countries Clinical Trials (public-public) Partnership (EDCTP2), which focuses on infectious diseases research in sub-Saharan Africa, also has a standing budget line to address public health emergencies and is likewise preparing to launch a call for expressions of interest for research projects to address the pandemic.
- The European Innovation Council (EIC) Accelerator pilot called on start-up companies and SMEs with technologies and innovations that could assist in the treatment of, testing for, monitoring of, or other aspects of the Corona virus outbreak.
- On 16 March, the Commission offered up to €80 million of financial support to CureVac, a highly innovative vaccine developer from Tübingen, Germany, to scale up development and production of a vaccine against the Coronavirus in Europe. The support would come in the form of an EU guarantee of a currently assessed EIB loan of an identical amount, in the framework of the InnovFin Infectious Disease Finance Facility under Horizon 2020.

(ii) Reorienting already on-going research
Over the course of the past few years, substantial investments have been made via Horizon 2020 in research preparedness projects, specifically in anticipation of this type of public health emergency; these research projects have early on (January) been mobilised to the maximum extent for the COVID-19 response. 
- The project “PREPARE” (EU grant of €24 million) supports the research readiness of primary care providers and hospitals through a large network in 42 European countries. The project is currently in highest-level response mode, which implies the initiation and implementation of clinical research studies on SARS-CoV-2 across Europe.
- The project “European Virus Archive Global” (EU grant of €12.2 million) coordinates a virtual collection of viruses, to be used for e.g. diagnostic purposes; it has already responded to more than 1200 requests, providing access to the necessary material for diagnosing Corona virus infection. 
- Other projects such as “VEO” (on diagnostics and data mining) or “MOOD” (on data mining and epidemic modelling) have only just started (on 1 January 2020) but have immediately refocused on the COVID-19 response.
- Finally, targeted exercises are ongoing to screen currently funded projects on potentially relevant activities, e.g. innovations in the fields of personal protective equipment for healthcare workers, specialised isolation units for infected patients, tracking human mobility during epidemics, filtration technology to remove viral material, etc. that may be in the pipeline.

(iii) Speeding up research and achieving tangible societal impact by optimising enabling framework condition
- As for data sharing, the newly funded projects will need an infrastructure enabling them to share their data. Discussions have started with the currently funded “RECODID” project (one of its partners being EMBL) to explore how this project can facilitate and provide a common platform for data sharing. We aim for this platform to link with different European research infrastructures (EMBL being one example), to become part of the European Open Science Cloud, and to contribute to the future European Health Data Space.
- More broadly, the European Commission already has an open access mandate for publications with an embargo of 6 months allowed for STEM disciplines. The European Commission has signed the Statement on Data Sharing in Public Health Emergency along with other funders and institutions across the world in March 2020 for immediate open access to publications and data that advance the research on COVID-19. The European Commission will also provide guidelines recommending to researchers to practice immediate open access to their publications beyond what is formally asked of them, in view of addressing this crisis. 

(iv) Drawing up an R&I Action Plan within the ERA framework
The purpose of this R&I action plan will be to identify first priority R&I work streams for coordinated action between the Commission and the Member States taking action against the Corona virus that can be executed in the next weeks.  It will be a living document and will be updated regularly with additional R&I coordinated actions. It will comprehend aspects linked to creating the ‘framework’ conditions for researchers such as access to data and to research infrastructures, and the coordination of clinical trials, as well as funding opportunities for researchers in different formats, and in a coordinated way.
"
Finland|2020-05-21|"Please note that the response to this question is overlapping somewhat with the issues asked in question 6. We often find it difficult to make a difference between the actions and stimulus packages aimed at supporting the economy in general and on the innovation system in particular. Here is a summary of Covid-19 –related measures, organized by the authority responsible for the measures.

1) The Bank of Finland made decisions on 15 March 2020 on measures aimed at alleviating payment difficulties and liquidity shortages caused by the coronavirus pandemic and ensuring access to funding for households and businesses, particularly SMEs. The decisions were prepared in cooperation with the Government and key authorities, and in dialogue with the financial sector. They complement the decisions taken earlier by the Governing Council of the European Central Bank (ECB) to support favourable liquidity conditions and preserve the smooth provision of credit in the euro area.

The Bank of Finland assesses, in close cooperation with national, European and Nordic authorities, the stability of the financial system and, in particular, developments in financial intermediation. The purpose is to facilitate the ability of credit institutions to provide funding to businesses and households and to mitigate the negative economic impact of the pandemic. The Board of the Financial Supervisory Authority (FIN-FSA) has started work on an immediate review of the level of capital requirements that are subject to national decision-making.

In 2009–2018, the Bank of Finland invested in the domestic corporate paper market. This investment activity was discontinued as market volumes shrank, reflecting the decrease in funding needs of businesses. Recent events have weakened the ability of markets to function and increased the funding needs of businesses. The Bank of Finland has therefore decided to restart its activities in the domestic corporate paper markets. The size of the programme was initially EUR 500 million. A few days later, the size of the programme was increased to EUR 1 billion due to huge demand.

For more, see: https://www.suomenpankki.fi/en/media-and-publications/releases/2020/the-bank-of-finland-decided-on-new-measures-to-safeguard-funding-for-businesses-and-households-during-the-corona-virus-pandemic/

2) The Tax Administration will ease the terms of payment arrangements for the time being. If a company has difficulties paying taxes due to the coronavirus situation, it can request a payment arrangement with eased terms starting 25 March 2020. For example, according to the new terms, the first installment of the payment arrangement will fall due in three months after the arrangement has become active, as opposed to just one month.

See: https://www.vero.fi/en/About-us/newsroom/corona-situation/

3) The Government decided on 20 March on an extensive package to support companies and to alleviate the negative effects of the coronavirus epidemic (See press release: https://tem.fi/en/article/-/asset_publisher/hallitukselta-mittava-paketti-yritysten-tueksi-finnveran-kautta-10-miljardin-euron-lisarahoitus-yrityksille). 
According to a government decision, 1,500 foreign seasonal workers can be employed to perform agricultural, forestry, horticultural and fishery work. The Ministry of Agriculture and Forestry has provided the Finnish Border Guard a list of the most critical employees in terms of security of supply.  Legislative amendments to legislation concerning the right of third-country nationals to work in duties central to the security of supply and the functioning of the labour market entered into force on 9 April 2020. 

https://tem.fi/en/article/-/asset_publisher/kausitoihin-tarjolla-tyontekijoita-myos-suomessa

4) Ministry of Social Affairs and Health: The Government submitted the first supplementary budget proposal for 2020 to Parliament on 20 March. An additional appropriation of EUR 12.8 million is proposed for the operating expenses of the Finnish Institute for Health and Welfare for the expenditure arising from the coronavirus. The additional appropriation is intended for purposes such as disseminating information and raising awareness among citizens, for safeguarding the functioning of information systems and for maintaining laboratory capacity. Altogether, EUR 6 million of the additional appropriation will be allocated to a broad-based research consortium for research into the coronavirus epidemic, in particular for developing rapid diagnostic methods and research into the emergence of immunity and for creating a national monitoring system for it. Of the additional funding allocated to research, EUR 4 million will be used to monitor the effectiveness of the measures to curb the spread of the coronavirus.


5) Organisations operating in the field of the Ministry of Economic Affairs and Employment (MEAE Group) monitor the effects of the coronavirus on businesses, employment, consumers and security of supply. The Ministry together with other organisations in the MEAE Group, monitors the effects of the coronavirus on business activities, employment and security of supply, and takes the necessary measures to alleviate the negative impacts. All the relevant general information about the coronavirus and the authorities’ actions and responses can be found from the following website: https://tem.fi/en/information-on-coronavirus

In negotiations held on 13 May 2020, the Government decided to introduce a new form of support to businesses in all industries to cover their costs. The support is intended for companies that have experienced a marked decrease in turnover due to the coronavirus epidemic, and have costs that are difficult to adjust. Support is allocated to companies and sectors most severely affected by the coronavirus.

https://tem.fi/en/article/-/asset_publisher/hallitus-linjasi-yrityksille-uusi-kustannustuki-koronaviruksen-vuoksi

In the field of STI, it includes the following (newest at the top):

On 8 April the Ministry of Economic Affairs and Employment announced that it is seeking to ensure that businesses will be able to continue operating on a profitable basis after the coronavirus crisis is over.

Additional EUR 450 million from the supplementary budget to support businesses. The additional funding is aimed at ensuring that sufficient resources are allocated for both coronavirus-related financing already in use by Business Finland and the Centres for Economic Development, Transport and the Environment and for the support of sole entrepreneurs, to be introduced in the near future. Of this increase, EUR 100 million is intended for support provided by Business Finland, EUR 200 million for support provided by the Centres for Economic Development, Transport and the Environment, and EUR 150 million for the support of sole entrepreneurs.

As a whole, support for businesses during the coronavirus crisis will increase to EUR 1.45 billion, of which Business Finland support account for EUR 800 million. The Centres for Economic Development, Transport and the Environment will receive EUR 400 million and sole entrepreneurs, EUR 250 million

https://valtioneuvosto.fi/en/article/-/asset_publisher/1410877/elinkeinoministeri-mika-lintila-vahvistamme-edelleen-yritysten-koronan-aikaista-ja-jalkeista-selviytymista


6) Business Finland (https://www.businessfinland.fi/en/for-finnish-customers/home/)
Business Finland’s grant authorisations will be increased by EUR 150 million to permit immediate business support measures.
On 19 March 2020, Business Finland launched two new financial services to mitigate the economic impact of the coronavirus epidemic. These services are intended for SMEs and midcaps operating in Finland whose business is suffering from the coronavirus situation. Financial services are intended for at least tourism and auxiliary tourism services, creative and performing industries and all sectors where subcontracting chains are affected. The funding is intended for companies to explore and tap into new business opportunities in emergency conditions. The first funding decisions were made immediately on 20 March 2020.

7) Finnvera (https://www.finnvera.fi/eng/)
The Government will make additional financing of EUR 10 billion available to businesses through Finnvera. The principal operating model is offering guarantees to banks that grant loans. In addition, the state will increase its coverage of Finnvera’s credit and guarantee losses from 50% to 80%.

8) ELY Centres (Centre for Economic Development, Transport and the Environment) (https://www.ely-keskus.fi/en/web/ely-en/)
ELY Centres’ grant authorisations for business development projects will be increased by EUR 50 million. The additional authorisation will be used to support SMEs particularly in the service sector but also in other sectors as necessary to manage and prevent the effects of the coronavirus.

9) VTT – Technical Research Center (https://www.vttresearch.com/en)
VTT is responding to corona virus in various ways, including the following:

9.1 Responding to customer needs in exceptional circumstances
Through active and continuous communication, VTT enables the understanding of customer needs even in exceptional circumstances. All customer meetings have been converted to online meetings. Plans to help clients monitor the progress of their daily experimental work at VTT, for example, have been developed and are being implemented. VTT's new, streamlined website has been launched. In addition, social media and other digital marketing channels are actively used for communication. As an example, VTT utilizes webinars and recordings of VTT researchers' presentations to enable scientific exchange despite the prevailing conditions.

9.2 Immediate RTD actions to assist Finnish society during covid-19
During the Corona pandemic, VTT sees opportunities to participate in a joint national effort by leveraging the organization's expertise and available infrastructure. VTT has identified capabilities that would provide immediate national support for the Corona effort, as well as expertise that will bring significant benefits over the next year. Recognized examples include some with immediate effect, some requiring more time and also additional investments.

9.3 Measures to mitigate the economic shock and support national competitiveness
VTT has started planning how VTT's research resources can be harnessed to maintain Finland's competitiveness in this exceptional situation. As client assignments fade, VTT's freed up researcher resources can be utilized (subject to an increase in state aid) for strategic themes and projects that benefit Finnish industry and society and revitalize economic growth. VTT has the capability to launch such research projects quickly. The themes will not only address the challenges posed by the corona situation in terms of industrial competitiveness and security of supply, but will also continue to focus on providing solutions to the long-term challenges of carbon neutrality and the circular economy. Innovations related to these themes will also benefit Finland after the immediate corona crisis eased.


10) The Academy of Finland is making available funding for Covid-19 research (3 million euros) The aims of the funding to be granted for research into the COVID-19 epidemic are:
• to support research in the field and/or
• to improve open access to research data and outputs for researchers and society and/or
• to promote the use of research knowledge in mitigating the effects and/or
• to promote the utilisation of research-based knowledge and expertise.
The call is a targeted call intended for organisations. The organisation’s application consists of sub-applications. The sub-applications are based on the work of ongoing Academy-funded projects, which will ensure that activities can start as soon as possible. The plans of the sub-applications must be relevant to the theme of the call. The principal investigators of the sub-applications must have an ongoing Academy-funded research project on the closing date of the call.
The assessment will focus on how the plans are based on the work of the projects, their relevance to the theme of the call and whether the plan can be credibly implemented considering the current situation. The General Subcommittee of the Academy of Finland will make the funding decisions.
https://www.aka.fi/en/about-us/media/press-releases/2020/academy-of-finland-opens-special-call-for-applications-for-research-into-covid-19/

11) CSC-Center for Scientific Computing gives priority to its computation capacity for national health care organizations.
"
France|2020-05-25|"The Minister of Research, Frédérique Vidal, announced on 19th March the creation of an emergency fund of 50 million euros for French public research engaged on the front line against the COVID-19 epidemic. This is in addition to the € 8 million already made available and will guarantee that all the promising lines of research that emerge can be financed without delay, whether it be research on clinical trials or vaccine research. 

The National Research Agency (ANR) launched a “Flash call” on this subject, the closing date for the submission of projects was 23 March.
https://anr.fr/fr/detail/call/appel-a -projects-flash-covid-19

The hospital clinical research program (PHRC) of the Ministry of Solidarity and Health covers the field of clinical research which aims to assess the safety, tolerance, feasibility or effectiveness of health technologies.
https://solidarites-sante.gouv.fr/systeme-de-sante-et-medico-social/recherche-et-innovation/l-innovation-et-la-recherche-clinique/appels-a-projets/article/programme-hospitalier-de-recherche-clinique-phrc

The Defense Innovation Agency (AID) launched a dedicated call, as part of the government's plan to fight COVID-19. It relates to the search for innovative solutions, whether technological, organizational, managerial or adapting industrial processes, which could be directly mobilized in order to: protect the population, support patient care, test the population, monitoring the evolution of the disease at the individual level and the evolution of the pandemic, or helping to limit constraints during the crisis period.
https://www.defense.gouv.fr/aid/appels-a-projets/appel-a-projets-lutte-covid-19

The “Structuring Projects for Competitiveness” (PSPC) action of the Investments for the Future Program (PIA) is open to companies of all sizes and from all economic sectors, and involves structured collaboration between economic and academic players. This action is coordinated by BPI France. A PSPC project dedicated to Covid-19 is under consideration (to date, March 26).
https://www.bpifrance.fr/Qui-sommes-nous/Nos-partenaires/Poles-de-competitivite/Poles-de-competitivite/Presentation-AAP-PSPC

French research is also mobilized at European level with the participation to the RECOVER (Rapid European COVID-19 Emergency Response) project. This research project funded by the European Commission involves 10 international partners and includes several components including epidemiological studies, clinical studies, and studies in the social sciences.

France is also participating in the Fight-nCoV (Fighting-Off Coronavirus (Sars-Cov-2) With Broad-Spectrum Antivirals: Establishing Animal Viral Challenge Model), I-MOVE-COVID-19 (Multidisciplinary European network for research) research projects. , prevention and control of the COVID-19 Pandemic) and CoNVat (Combating 2019-nCoV: Advanced Nanobiosensing platforms for POC global diagnostics and surveillance).
https://www.enseignementsup-recherche.gouv.fr/cid150211/covid-19-20-projets-de-recherche-selectionnes-pour-lutter-contre-l-epidemie.html
"
Germany|2020-04-06|"The German Federal Ministry of Health (BMG) has provided 9,574 Mio. € to support (Federal) Research Institutes in the fight against Corona. The research activities aim at
• Supporting the national fight against the spread of the virus
• The development of vaccines and therapeutics
• Establishing and improving national and international crisis management
• Health education and information for the public and professionals

The institutes receiving support from the German Federal Ministry of Health are:

• Robert Koch Institute (RKI): (i) Expansion and strengthening of the surveillance systems for acute respiratory infections (currently: ICOSARI, GrippeWeb, Arbeitsgemeinschaft Influenza), establishing an integrated molecular surveillance system and increase of diagnostic capacities. (ii) Establishing and improving national and international crisis management and support of the Federal States in fighting the outbreak. (iii) Education and information for the public and professionals – support of international measures of the RKI (here: African partner institutions and countries).

• Bernhard Nocht Institute on Tropical Medicine (https://www.bnitm.de/en/); Research Center Borstel (https://fz-borstel.de/index.php/en/); Hasso Plattner Institute (https://www.bnitm.de/en/): (i) Measures to develop new infrastructures for diagnosis and development of new anti-virals and therapies against Covid-19; (ii) Research aiming at characterization of SARS-CoV-2 to better understand its spread and properties; and (iii) Providing data on epidemic transmission patterns and diagnostics of proof and resistance of the virus.

• Bernhard Nocht Institute on Tropical Medicine – extra application “international”: Support for the health care system in 12 African countries: Equipment for diagnostic centers, training of lab personnel and capacity building.

• Bernhard Nocht Institute on Tropical Medicine – extra application “Counselling of health professionals”: Establishing a 24 hour counseling service for health professionals to (i) support individual medical decisions/considerations and (ii) prevent decrease in the management of other diseases.
 
The German Federal Ministry of Education and Research launched a Call on Corona on 3rd March 2020. See https://www.gesundheitsforschung-bmbf.de/de/10592.php
(see for English version https://www.dlr.de/pt/Portaldata/45/Resources/Dokumente/GF/2020_03_02_Call_announcement_covid19.pdf). In the meantime, the budget of this Call has been increased to 15 Mio. €. The Call is structured in different modules:
• Module 1 - Combating COVID-19 through early clinical studies for the application of already known therapeutic approaches to Sars-CoV-2
• Module 2 - Control of COVID-19 through new therapeutic and diagnostic approaches
• Module 3 - Research that contributes to the understanding of the virus and its spread
• Module 4 - Support of already ongoing research projects on corona viruses

Deutsche Forschungsgemeinschaft (DFG): On 19th of March 2020, the DFG launched a Call on interdisciplinary research on epidemics and pandemics. Projects will be funded that address prevention, early detection and containment or research on the causes, consequences and handling of epidemics and pandemics looking at SARS-CoV-2 and other human-pathogenic microorganisms and viruses (see: https://www.dfg.de/service/presse/berichte/2020/200318_corona_news/).

Horizon 2020 (European Framework Programme for Research and Innovation): Germany is, for example, taking part in a Marie-Curie-project to overcome the species barriers of coronavirus (see: https://cordis.europa.eu/project/id/748627); a collaborative project on immunotherapy for rotavirus and coronavirus infections (see: https://cordis.europa.eu/project/id/748627); and a collaborative European-Chinese project on the diagnosis of coronaviruses using the example of SARS (see: https://cordis.europa.eu/project/id/3831)

"
Greece|2020-05-07|"In response to the COVID-19 pandemic, the General Secretariat for Research and Technology of Greece launched a Flagship Research Action entitled “Epidemiological study in Greece through extensive testing for virus and antibody detection, viral genome sequencing and genetic analysis of patients, in response to the SARS-CoV-2 crisis”. 

The Action is expected is expected to provide answers to the following questions: 
1. Given the global spread of the virus and the possible shortage of reagents, will Greece be able to respond successfully to the increased demand for virus detection tests as well as antibody tests, particularly as containment measures are gradually lifted? 
2. Despite identification of high-risk groups (seniors and people with underlying conditions), predictability of outcome for individual patients remains relatively low. Are there factors like genetic susceptibility which could help in this regard? 
3. Which are the transmission patterns of the virus and which are the predominant virus strains among the Greek population? 
4. Which will be the immunity levels of the population and of each patient after the pandemic? 

The Action will be implemented by four (4) higher education institutions and six (6) research centres. Greek research centres and university laboratories, working together with the medical community, have the privilege to be ideally positioned, at international level, to conduct this study, which is expected not only to have a direct impact within Greece in the immediate future, but also to put Greece at the vanguard of global advances in understanding and tackling SARS-CoV-2.

The Flagship Research Action has a pubic budget of € 2.475 m under National Public  Investments Programme.

More detailed information about the Flagship Action is given in the following link:
gsrt.gr/central.aspx?sId=124I458I1163I323I509672&olID=777&neID=589&neTa=1_122365&ncID=0&neHC=0&tbid=0&lrID=2&oldUIID=aI777I0I119I428I1089I0I3&actionID=load

Further initiatives undertaken by Greek Research organizations are as follows:

1) Testing for the virus is done by the Hellenic Pasteur Institute (https://www.pasteur.gr), the national COVid-19 Reference Centre. Testing is up until now limited to those with serious symptoms. It is not possible to extend testing to the symptom-free population, mainly due to shortages in reagents and essential consumables. Epidemiological data are stored for all samples. However, it is still early days for concrete epidemiological studies. 

2) Several Greek public Research Centers and Universities have joined forces to contribute to the national effort to broaden testing of the population under an initiative of the National Council for Research & Innovation and the National Public Health Organization. This plan has not been fully implemented yet until all biosafety requirements are met and all controls are completed. As a first phase, the plan includes the Laboratory of Hygiene and Epidemiology of the University of Athens (https://dehems.med.uoa.gr), the Biomedical Research Foundation of the Academy of Athens (https://www.bioacademy.gr/) and the Institute of Applied Biosciences at the Centre for Research and Technology Hellas (https://www.inab.certh.gr/). Further research entities are also appropriately equipped in order to detect SARS-COV-2 by real time PCR, such as, for example, the Institute for Molecular Biology and Biotechnology of the Foundation for Research and Technology Hellas (FORTH) (https://www.imbb.forth.gr/). The latter has also developed an innovative technology based on biosensors for the direct detection of virus particles of SARS-COV-2. They are in consultation with the Reference Centre of the Pasteur Institute in order to perform tests. A spin-off company has been created by FORTH for the next steps and exploitation of research results. 

3) There are important research activities in the field of biology of viruses (among them the family of coronaviruses) along with the reaction of the human immune system to viral infections. Such research is mostly undertaken at the Institute of Molecular Biology and Biotechnology / FORTH, but also at the other biomedical research Institutes. Substantial work is also being done in the field of epidemiological modelling of the virus spread dynamics with mathematical and computer models. 

4) On treatment for COVID-19, Greece is already implementing a strategy of drug-repositioning / re-purposing for already approved drugs. Several research groups along with enterprises are working in this field.
"
Ireland|2020-03-30|"Research and Innovation, in health, academia and industry, have a significant role to play in the national and global response to COVID-19. Consequently, the Government’s main research and innovation agencies have developed a coordinated Rapid Response Research and Innovation programme to help mitigate and manage the COVID-19 pandemic by unlocking the potential of Irish based researchers and innovators to join the global efforts. This coordinated response is comprised of two complementary strands. Having two focus areas allows for sufficient specialisation and coordination while optimising available resources.

(1) The first focus area targets Health services research; Patient-oriented and clinical research; and Population health research to COVID-19. This is led by the Heath Research Board (HRB) and the Irish Research Council (IRC) and details of the call can be found here: https://www.hrb.ie/funding/funding-schemes/all-funding-schemes/grant/covid-19-pandemic-rapid-response-funding-call-cov19-2020/

(2) The second focus area is an agile and adaptive initiative to combine the capabilities of industry and academia in the development of innovative solutions that can have a rapid demonstrable impact on the current COVID-19 crisis in Ireland, including but going beyond the health response to areas such as essential services and supply chains. This is led by Science Foundation Ireland (SFI), Enterprise Ireland and IDA Ireland and details of the call can be found here: https://www.sfi.ie/funding/funding-calls/covid19-rapid-response/


"
Israel|2020-03-30|"50M Shekels grants, spearheaded by the government investment arm, the Israel Innovation Authority (IIA), will support companies from all sectors with products that address the challenges of the coronavirus pandemic.

The IIA, Israel’s Ministry of Health, and the Ministry for Social Equality, through its Digital Israel initiative, announced on 24 March the allocation of NIS 50 million (approximately US $13 million) in grants for corona-fighting startups and companies. The grants will be allocated to companies submitting research and development plans, proofs-of-concept, products, and technological solutions that address the challenges of the coronavirus (Covid-19) pandemic.

In addition, the IIA, the Israeli Ministry of Economy and Industry, and the Manufacturers Association of Israel are calling on industrial facilities and companies to submit R&D plans for the increased production of coronavirus-related products. As part of the initiative, the government will offer financial support of 50% to 75% of expenses to plans that will demonstrate the potential to bolster the country’s healthcare system or provide breakthroughs in the fight against coronavirus.

Example of a private sector initiative: https://m.facebook.com/events/2326989017601093/"
Italy|2020-03-29|"The Government has kicked off the “Innova per l’Italia: la tecnologia, la ricerca e l’innovazione in campo contro l’emergenza Covid” project (https://innovazione.gov.it/innova-per-l-Italia-la-tecnologia-e-l-innovazione-in-campo-contro-l-emergenza-covid-19/), jointly managed by three Ministries (Innovation, Economic Development, University & Research) targeted at companies, universities, public and private research institutions, who can provide contributions in the field of development and production of devices for the prevention, diagnosis and monitoring of SARS-CoV-2, to promote its containment. The project invites these actors to propose their contribution in three areas:
- the procurement, innovation or industrial re-conversion of their technologies and processes, to increase the availability of personal protective equipment (in particular surgical masks) and the production of complex respiratory systems for the treatment of respiratory syndromes (including individual components);
- the procurement of innovative kits or technologies to facilitate the diagnosis of Covid-19;
- technologies and tools for monitoring and prevention of Covid-19.
The proposals received will be evaluated and the Extraordinary Commissioner will activate the necessary steps to implement the approved projects.

The Italian Medicines Agency (Agenzia Italiana del Farmaco) has also set up a crisis unit for the Covid-19 emergency (www.aifa.gov.it). Its strategy is based on four main areas of action: 
- promoting controlled clinical trials of off-label drugs;
- promoting R&D/access to experimental drugs;
- designing national guidelines for Covid-19 case management, in collaboration with the Civil Protection and Lazzaro Spallanzani Hospital;
- preventing shortage of drugs at the hospital level.

Italy strongly encourages exploitation of the ‘newborn’ European Open Science Cloud (EOSC) for sharing data and best practices according to an Open Science and Open Innovation approach. The GloPID-R project (https://cordis.europa.eu/project/id/874667) could represent another platform with a similar purpose. 
"
Japan|2020-03-29|"・The Japan Agency for Medical Research and Development (AMED) and the National Institute of Infectious Diseases (NIID) support R&D projects on diagnostic methods, treatment methods and vaccines for COVID-19 by additional grant (1.44 billion yen in total).
・AMED supports to develop an R&D platform to immediately respond to emerging infectious disease epidemics such as COVID -19 by additional grants (2.5 billion yen in total).
・Additional grants of Health Labour Sciences Research Grant supports confirmation of therapeutic effects of existing drugs and creation of diagnostic kits for COVID-19 (1 billion yen in total). 
・Grants-in-Aid for Scientific Research (Grant-in-Aid for Special Purposes) supports basic research for the development of preventive, diagnostic, and therapeutic agents, including the collection and analysis of COVID -19 information and samples (50 million yen in in total).
・AMED and others support the development of immediate testing equipment for novel coronavirus. (0.3 billion yen in total)"
Korea|2020-03-28|"- Korea is actively carrying out public-private clinical studies on COVID-19 vaccine and treatment. Korea undertook studies on testing kits, treatment, epidemiological study and vaccine development since February 2020.
- The MSIT supported private companies’ development of COVID-19 testing kits to make rapid testing available as soon as possible. Three of the five companies that developed COVID-19 testing kits received support from the MSIT.
- The MSIT is also supporting the Institute Pasteur Korea and Korea Research Institute of Chemical Technology to find a treatment for COVID-19 through repurposing drugs whose safety is verified by the U.S. Food and Drug Administration.
- To help Korean COVID-19 testing companies secure technological competitiveness, the MSIT has formed a research council on medical devices for infectious diseases with government-funded research institutes and hospitals specializing in infectious diseases and medical devices, and is providing necessary technology, equipment and networks."
Lithuania|2020-03-30|"Processes are coordinated by the Emergency Commission together with the Government Office. Currently, processes are taking place at the operational level, where society, science and business are struggling to respond to the needs expressed by the Government Emergency Commission.
In parallel, Lithuanian researchers are preparing to join international initiatives in the field of COVID19 research.
Research Council of Lithuania is considering initiating a research program related to COVID19.
The Agency for Science, Innovation and Technology has launched a call ""Life saving-innovations: stop COVID-19"" with simplified procedures. The call is open for innovators, technology developers, start-ups and innovative companies that can offer research- and innovation-based unconventional solutions to manage the COVID-19 crisis. After the selection the best projects will be funded from the EU SF instrument „Inostartas” (52,000 euro / project).

Here are some examples of ongoing initiatives:

- Lithuanian robotics company ""Rubedo sistemos"", that  is developing a unique disinfecting robot that can help fighting COVID-19. This autonomous robot has great potential for future applications: it can be used in hospitals, quarantine facilities, offices, schools, supermarkets, warehouses and airports. 
- A hackathon (Hack the Crisis was organized in Lithuania on 20-22 March: https://hackthecrisis.lt/) specifically designed to respond to the Covid-19 crisis.
- Vilnius University Life Sciences Centre has handed over laboratory disinfection equipment to the National Cancer Institute to disinfect patients' wards.
- VU GMC has set up an analytical center where it selects and provides the government with the latest scientific information on COVID 19 once a week;
- Lithuanian scientists are also looking for the possibility to produce the necessary reagents for COVID19 research.


"
Mexico|2020-03-29|The president has set aside a vast amount of resources to be prepared for the contingency. Several measures to be implemented by the Ministry of Health, specially regarding equipment for people infected and for health personnel. Other resources are being poured on R&D trough National Council for Science and Technology to ensure that proper research is being conducted on new treatment, potential cure and vaccination. All takes into account the information received from experts in the country. 
